Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,gender,gender_3_TEXT,age,ethnicity,ethnicity_5_TEXT,education,education_9_TEXT,income,country,ac1,ac2,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,ac3,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18,nfctime_First Click,nfctime_Last Click,nfctime_Page Submit,nfctime_Click Count,comprehension1,comprehensiontime_First Click,comprehensiontime_Last Click,comprehensiontime_Page Submit,comprehensiontime_Click Count,comprehensiontime2_First Click,comprehensiontime2_Last Click,comprehensiontime2_Page Submit,comprehensiontime2_Click Count,comprehension2,comprehension3,1_matrixtime_First Click,1_matrixtime_Last Click,1_matrixtime_Page Submit,1_matrixtime_Click Count,1_comprehension4,2_matrixtime_First Click,2_matrixtime_Last Click,2_matrixtime_Page Submit,2_matrixtime_Click Count,2_comprehension4,3_matrixtime_First Click,3_matrixtime_Last Click,3_matrixtime_Page Submit,3_matrixtime_Click Count,3_comprehension4,4_matrixtime_First Click,4_matrixtime_Last Click,4_matrixtime_Page Submit,4_matrixtime_Click Count,4_comprehension4,5_matrixtime_First Click,5_matrixtime_Last Click,5_matrixtime_Page Submit,5_matrixtime_Click Count,5_comprehension4,usage1,usage2,usage2_4_TEXT,usage3,usage4,Q9.5_8,Q9.5_9,Q9.5_20,Q9.5_21,Q9.5_16,Q9.5_16_TEXT,usage6,usage6_3_TEXT,honesty2,honesty2_4_TEXT,id,comments,SC0,PROLIFIC_PID,workerid,assignmentId,hitId,site,age,sign,sample
2674,1,11/11/21 13:34,R_1LHzGg3drfb3Es9,,,,,preview,EN,2,,28,5,Asian/White,6,,3,189,6,3,2,1,4,4,3,2,3,4,4,3,4,1,3,2,4,3,4,2,2,10.786,114.028,114.901,27,Basically ignore the first part and say zero persons regardless of how many people I see.,29.964,29.964,59.447,1,6.258,7.527,8.305,2,1,Find 2 numbers that add up to exactly 10.,0,0,21.007,0,0,0,0,21.107,0,0,0,0,21.007,0,0,0,0,21.008,0,0,0,0,3.357,0,0,1,3,,none,none,1,1,1,1,1,,4,,3,,test,test,0,,,,,MTurk,,USD,CR
263,1,11/21/21 2:03,R_dp5vx4YeLQe4IUN,,,,,preview,EN,2,,24,7,,5,,2,189,5,3,1,2,2,2,3,2,1,1,1,1,2,3,4,5,5,4,5,5,5,0.677,69.669,70.994,44,jnkn,2.263,2.263,4.887,1,0,0,5.162,0,11,kjn,10.427,10.427,13.568,1,1,5.178,5.178,6.353,1,1,0,0,4.201,0,0,3.677,4.711,11.748,2,0,7.6,8.07,21.007,2,1,3,1,,mn,mnk,1,3,,,4,,2,,1,,yt6j,jhk,3,,,,,MTurk,,USD,CR
134,1,11/23/21 8:26,R_V4OFpPDXAjruZj3,,,,,preview,EN,2,,28,5,,4,,3,189,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.499,11.631,13.557,20,test,2.787,2.787,4.389,1,1.581,2.8,4.072,2,1,test,1.452,1.452,2.256,1,0,0.94,0.94,1.665,1,0,0.849,0.849,1.47,1,0,0.845,1.374,1.752,2,0,0.888,0.888,1.382,1,0,1,3,,test,test,3,3,3,3,3,,5,,3,,test,test,0,,,,,MTurk,,USD,CR
,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,,3,,,na,,,,,,,,,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,what,,,,,,,,,4,koj,,,,,,,,,,0,,,,,1,,,,,1,,,,,,,2,,none,na,,,,,,,5,,3,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0,,,,,1,,,,,0,,,,,,,,,,,4,1,,test,test,,,,,,,4,,,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,test,,,,,,,,,11,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,2,,1,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,5,,,,test,,,,,,,5,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,test,,,,,,,,5,,3,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prolific